Date : 2024-07-07 19:22:21
Directory : /home/hhb/YOLO_ORB_SLAM3-master
Total : 7134 files,  2792091 codes, 419361 comments, 314467 blanks, all 3525919 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| Thirdparty/opencv_contrib-4.2.0/modules/hfs (Files)                                                                                                                                         |          1 |         34 |          0 |         20 |         54 |
| Thirdparty/opencv_contrib-4.2.0/modules/hfs/doc                                                                                                                                             |          1 |          8 |          0 |          1 |          9 |
| Thirdparty/opencv_contrib-4.2.0/modules/hfs/include                                                                                                                                         |          1 |         26 |        104 |         24 |        154 |
| Thirdparty/opencv_contrib-4.2.0/modules/hfs/include/opencv2                                                                                                                                 |          1 |         26 |        104 |         24 |        154 |
| Thirdparty/opencv_contrib-4.2.0/modules/hfs/samples                                                                                                                                         |          1 |         24 |         14 |          8 |         46 |
| Thirdparty/opencv_contrib-4.2.0/modules/hfs/src                                                                                                                                             |         17 |      2,186 |         83 |        480 |      2,749 |
| Thirdparty/opencv_contrib-4.2.0/modules/hfs/src (Files)                                                                                                                                     |          4 |        632 |         13 |        109 |        754 |
| Thirdparty/opencv_contrib-4.2.0/modules/hfs/src/cuda                                                                                                                                        |          2 |        443 |         13 |        107 |        563 |
| Thirdparty/opencv_contrib-4.2.0/modules/hfs/src/magnitude                                                                                                                                   |          2 |        217 |         11 |         40 |        268 |
| Thirdparty/opencv_contrib-4.2.0/modules/hfs/src/merge                                                                                                                                       |          2 |        103 |          6 |         30 |        139 |
| Thirdparty/opencv_contrib-4.2.0/modules/hfs/src/or_utils                                                                                                                                    |          4 |        222 |         23 |         58 |        303 |
| Thirdparty/opencv_contrib-4.2.0/modules/hfs/src/slic                                                                                                                                        |          3 |        569 |         17 |        136 |        722 |
| Thirdparty/opencv_contrib-4.2.0/modules/img_hash                                                                                                                                            |         26 |      1,514 |        282 |        336 |      2,132 |
| Thirdparty/opencv_contrib-4.2.0/modules/img_hash (Files)                                                                                                                                    |          1 |          4 |          0 |          2 |          6 |
| Thirdparty/opencv_contrib-4.2.0/modules/img_hash/doc                                                                                                                                        |          1 |         21 |          0 |          3 |         24 |
| Thirdparty/opencv_contrib-4.2.0/modules/img_hash/include                                                                                                                                    |          8 |        143 |        200 |         84 |        427 |
| Thirdparty/opencv_contrib-4.2.0/modules/img_hash/include/opencv2                                                                                                                            |          8 |        143 |        200 |         84 |        427 |
| Thirdparty/opencv_contrib-4.2.0/modules/img_hash/include/opencv2 (Files)                                                                                                                    |          1 |          9 |         65 |          5 |         79 |
| Thirdparty/opencv_contrib-4.2.0/modules/img_hash/include/opencv2/img_hash                                                                                                                   |          7 |        134 |        135 |         79 |        348 |
| Thirdparty/opencv_contrib-4.2.0/modules/img_hash/samples                                                                                                                                    |          1 |         43 |          0 |         11 |         54 |
| Thirdparty/opencv_contrib-4.2.0/modules/img_hash/src                                                                                                                                        |          8 |        834 |         47 |        166 |      1,047 |
| Thirdparty/opencv_contrib-4.2.0/modules/img_hash/test                                                                                                                                       |          7 |        469 |         35 |         70 |        574 |
| Thirdparty/opencv_contrib-4.2.0/modules/line_descriptor                                                                                                                                     |         28 |      5,218 |      2,130 |      1,199 |      8,547 |
| Thirdparty/opencv_contrib-4.2.0/modules/line_descriptor (Files)                                                                                                                             |          1 |          3 |          0 |          2 |          5 |
| Thirdparty/opencv_contrib-4.2.0/modules/line_descriptor/doc                                                                                                                                 |          1 |         28 |          0 |          3 |         31 |
| Thirdparty/opencv_contrib-4.2.0/modules/line_descriptor/include                                                                                                                             |          2 |        446 |        650 |        230 |      1,326 |
| Thirdparty/opencv_contrib-4.2.0/modules/line_descriptor/include/opencv2                                                                                                                     |          2 |        446 |        650 |        230 |      1,326 |
| Thirdparty/opencv_contrib-4.2.0/modules/line_descriptor/include/opencv2 (Files)                                                                                                             |          1 |          4 |        111 |          5 |        120 |
| Thirdparty/opencv_contrib-4.2.0/modules/line_descriptor/include/opencv2/line_descriptor                                                                                                     |          1 |        442 |        539 |        225 |      1,206 |
| Thirdparty/opencv_contrib-4.2.0/modules/line_descriptor/misc                                                                                                                                |          1 |         14 |          0 |          4 |         18 |
| Thirdparty/opencv_contrib-4.2.0/modules/line_descriptor/misc/python                                                                                                                         |          1 |         14 |          0 |          4 |         18 |
| Thirdparty/opencv_contrib-4.2.0/modules/line_descriptor/perf                                                                                                                                |          3 |        116 |        127 |         41 |        284 |
| Thirdparty/opencv_contrib-4.2.0/modules/line_descriptor/samples                                                                                                                             |          6 |        479 |        320 |        171 |        970 |
| Thirdparty/opencv_contrib-4.2.0/modules/line_descriptor/src                                                                                                                                 |          8 |      3,139 |        844 |        522 |      4,505 |
| Thirdparty/opencv_contrib-4.2.0/modules/line_descriptor/test                                                                                                                                |          5 |        923 |        189 |        197 |      1,309 |
| Thirdparty/opencv_contrib-4.2.0/modules/line_descriptor/tutorials                                                                                                                           |          1 |         70 |          0 |         29 |         99 |
| Thirdparty/opencv_contrib-4.2.0/modules/matlab                                                                                                                                              |         31 |      2,465 |      1,090 |        527 |      4,082 |
| Thirdparty/opencv_contrib-4.2.0/modules/matlab (Files)                                                                                                                                      |          2 |        343 |          0 |        112 |        455 |
| Thirdparty/opencv_contrib-4.2.0/modules/matlab/cmake                                                                                                                                        |          3 |        202 |          0 |         32 |        234 |
| Thirdparty/opencv_contrib-4.2.0/modules/matlab/cmake (Files)                                                                                                                                |          2 |        193 |          0 |         31 |        224 |
| Thirdparty/opencv_contrib-4.2.0/modules/matlab/cmake/hooks                                                                                                                                  |          1 |          9 |          0 |          1 |         10 |
| Thirdparty/opencv_contrib-4.2.0/modules/matlab/generator                                                                                                                                    |         14 |        926 |        370 |        157 |      1,453 |
| Thirdparty/opencv_contrib-4.2.0/modules/matlab/generator (Files)                                                                                                                            |          5 |        500 |        284 |        102 |        886 |
| Thirdparty/opencv_contrib-4.2.0/modules/matlab/generator/templates                                                                                                                          |          9 |        426 |         86 |         55 |        567 |
| Thirdparty/opencv_contrib-4.2.0/modules/matlab/include                                                                                                                                      |          4 |        778 |        642 |        180 |      1,600 |
| Thirdparty/opencv_contrib-4.2.0/modules/matlab/include/opencv2                                                                                                                              |          4 |        778 |        642 |        180 |      1,600 |
| Thirdparty/opencv_contrib-4.2.0/modules/matlab/include/opencv2/matlab                                                                                                                       |          4 |        778 |        642 |        180 |      1,600 |
| Thirdparty/opencv_contrib-4.2.0/modules/matlab/test                                                                                                                                         |          8 |        216 |         78 |         46 |        340 |
| Thirdparty/opencv_contrib-4.2.0/modules/optflow                                                                                                                                             |         50 |     12,107 |      1,908 |      2,372 |     16,387 |
| Thirdparty/opencv_contrib-4.2.0/modules/optflow (Files)                                                                                                                                     |          1 |          3 |          0 |          2 |          5 |
| Thirdparty/opencv_contrib-4.2.0/modules/optflow/doc                                                                                                                                         |          1 |        115 |          0 |         14 |        129 |
| Thirdparty/opencv_contrib-4.2.0/modules/optflow/include                                                                                                                                     |          5 |        529 |        836 |        161 |      1,526 |
| Thirdparty/opencv_contrib-4.2.0/modules/optflow/include/opencv2                                                                                                                             |          5 |        529 |        836 |        161 |      1,526 |
| Thirdparty/opencv_contrib-4.2.0/modules/optflow/include/opencv2 (Files)                                                                                                                     |          1 |         73 |        217 |         20 |        310 |
| Thirdparty/opencv_contrib-4.2.0/modules/optflow/include/opencv2/optflow                                                                                                                     |          4 |        456 |        619 |        141 |      1,216 |
| Thirdparty/opencv_contrib-4.2.0/modules/optflow/perf                                                                                                                                        |          6 |        164 |         59 |         50 |        273 |
| Thirdparty/opencv_contrib-4.2.0/modules/optflow/perf (Files)                                                                                                                                |          5 |        119 |          9 |         33 |        161 |
| Thirdparty/opencv_contrib-4.2.0/modules/optflow/perf/opencl                                                                                                                                 |          1 |         45 |         50 |         17 |        112 |
| Thirdparty/opencv_contrib-4.2.0/modules/optflow/samples                                                                                                                                     |         11 |      1,562 |         57 |        294 |      1,913 |
| Thirdparty/opencv_contrib-4.2.0/modules/optflow/src                                                                                                                                         |         19 |      8,923 |        755 |      1,626 |     11,304 |
| Thirdparty/opencv_contrib-4.2.0/modules/optflow/src (Files)                                                                                                                                 |         11 |      3,854 |        579 |        767 |      5,200 |
| Thirdparty/opencv_contrib-4.2.0/modules/optflow/src/rlof                                                                                                                                    |          8 |      5,069 |        176 |        859 |      6,104 |
| Thirdparty/opencv_contrib-4.2.0/modules/optflow/test                                                                                                                                        |          7 |        811 |        201 |        225 |      1,237 |
| Thirdparty/opencv_contrib-4.2.0/modules/optflow/test (Files)                                                                                                                                |          5 |        717 |        147 |        188 |      1,052 |
| Thirdparty/opencv_contrib-4.2.0/modules/optflow/test/ocl                                                                                                                                    |          2 |         94 |         54 |         37 |        185 |
| Thirdparty/opencv_contrib-4.2.0/modules/ovis                                                                                                                                                |          9 |      1,291 |        327 |        347 |      1,965 |
| Thirdparty/opencv_contrib-4.2.0/modules/ovis (Files)                                                                                                                                        |          1 |          3 |          0 |          2 |          5 |
| Thirdparty/opencv_contrib-4.2.0/modules/ovis/include                                                                                                                                        |          1 |         93 |        254 |         46 |        393 |
| Thirdparty/opencv_contrib-4.2.0/modules/ovis/include/opencv2                                                                                                                                |          1 |         93 |        254 |         46 |        393 |
| Thirdparty/opencv_contrib-4.2.0/modules/ovis/samples                                                                                                                                        |          4 |        129 |         21 |         50 |        200 |
| Thirdparty/opencv_contrib-4.2.0/modules/ovis/src                                                                                                                                            |          3 |      1,066 |         52 |        249 |      1,367 |
| Thirdparty/opencv_contrib-4.2.0/modules/phase_unwrapping                                                                                                                                    |         13 |        851 |        385 |        143 |      1,379 |
| Thirdparty/opencv_contrib-4.2.0/modules/phase_unwrapping (Files)                                                                                                                            |          1 |          3 |          0 |          2 |          5 |
| Thirdparty/opencv_contrib-4.2.0/modules/phase_unwrapping/doc                                                                                                                                |          1 |          9 |          0 |          1 |         10 |
| Thirdparty/opencv_contrib-4.2.0/modules/phase_unwrapping/include                                                                                                                            |          3 |         44 |        183 |         15 |        242 |
| Thirdparty/opencv_contrib-4.2.0/modules/phase_unwrapping/include/opencv2                                                                                                                    |          3 |         44 |        183 |         15 |        242 |
| Thirdparty/opencv_contrib-4.2.0/modules/phase_unwrapping/include/opencv2 (Files)                                                                                                            |          1 |          2 |         57 |          2 |         61 |
| Thirdparty/opencv_contrib-4.2.0/modules/phase_unwrapping/include/opencv2/phase_unwrapping                                                                                                   |          2 |         42 |        126 |         13 |        181 |
| Thirdparty/opencv_contrib-4.2.0/modules/phase_unwrapping/samples                                                                                                                            |          1 |         68 |         41 |         16 |        125 |
| Thirdparty/opencv_contrib-4.2.0/modules/phase_unwrapping/src                                                                                                                                |          2 |        609 |        152 |         72 |        833 |
| Thirdparty/opencv_contrib-4.2.0/modules/phase_unwrapping/test                                                                                                                               |          3 |         59 |          9 |         16 |         84 |
| Thirdparty/opencv_contrib-4.2.0/modules/phase_unwrapping/tutorials                                                                                                                          |          2 |         59 |          0 |         21 |         80 |
| Thirdparty/opencv_contrib-4.2.0/modules/phase_unwrapping/tutorials (Files)                                                                                                                  |          1 |          6 |          0 |          5 |         11 |
| Thirdparty/opencv_contrib-4.2.0/modules/phase_unwrapping/tutorials/unwrap                                                                                                                   |          1 |         53 |          0 |         16 |         69 |
| Thirdparty/opencv_contrib-4.2.0/modules/plot                                                                                                                                                |          6 |        415 |        192 |        106 |        713 |
| Thirdparty/opencv_contrib-4.2.0/modules/plot (Files)                                                                                                                                        |          1 |          4 |          0 |          3 |          7 |
| Thirdparty/opencv_contrib-4.2.0/modules/plot/doc                                                                                                                                            |          1 |          3 |          1 |          3 |          7 |
| Thirdparty/opencv_contrib-4.2.0/modules/plot/include                                                                                                                                        |          1 |         36 |         75 |         10 |        121 |
| Thirdparty/opencv_contrib-4.2.0/modules/plot/include/opencv2                                                                                                                                |          1 |         36 |         75 |         10 |        121 |
| Thirdparty/opencv_contrib-4.2.0/modules/plot/samples                                                                                                                                        |          1 |         31 |          0 |         11 |         42 |
| Thirdparty/opencv_contrib-4.2.0/modules/plot/src                                                                                                                                            |          2 |        341 |        116 |         79 |        536 |
| Thirdparty/opencv_contrib-4.2.0/modules/quality                                                                                                                                             |         26 |     10,811 |        539 |        421 |     11,771 |
| Thirdparty/opencv_contrib-4.2.0/modules/quality (Files)                                                                                                                                     |          1 |         99 |          0 |         24 |        123 |
| Thirdparty/opencv_contrib-4.2.0/modules/quality/doc                                                                                                                                         |          1 |         31 |          0 |          3 |         34 |
| Thirdparty/opencv_contrib-4.2.0/modules/quality/include                                                                                                                                     |          8 |        301 |        216 |        126 |        643 |
| Thirdparty/opencv_contrib-4.2.0/modules/quality/include/opencv2                                                                                                                             |          8 |        301 |        216 |        126 |        643 |
| Thirdparty/opencv_contrib-4.2.0/modules/quality/include/opencv2 (Files)                                                                                                                     |          1 |          9 |          3 |          3 |         15 |
| Thirdparty/opencv_contrib-4.2.0/modules/quality/include/opencv2/quality                                                                                                                     |          7 |        292 |        213 |        123 |        628 |
| Thirdparty/opencv_contrib-4.2.0/modules/quality/samples                                                                                                                                     |          4 |      9,710 |         84 |         78 |      9,872 |
| Thirdparty/opencv_contrib-4.2.0/modules/quality/src                                                                                                                                         |          5 |        421 |        119 |        125 |        665 |
| Thirdparty/opencv_contrib-4.2.0/modules/quality/test                                                                                                                                        |          7 |        249 |        120 |         65 |        434 |
| Thirdparty/opencv_contrib-4.2.0/modules/reg                                                                                                                                                 |         33 |      1,696 |      1,521 |        583 |      3,800 |
| Thirdparty/opencv_contrib-4.2.0/modules/reg (Files)                                                                                                                                         |          1 |         80 |          0 |         21 |        101 |
| Thirdparty/opencv_contrib-4.2.0/modules/reg/doc                                                                                                                                             |          1 |         10 |          0 |          1 |         11 |
| Thirdparty/opencv_contrib-4.2.0/modules/reg/include                                                                                                                                         |         11 |        249 |        652 |        161 |      1,062 |
| Thirdparty/opencv_contrib-4.2.0/modules/reg/include/opencv2                                                                                                                                 |         11 |        249 |        652 |        161 |      1,062 |
| Thirdparty/opencv_contrib-4.2.0/modules/reg/include/opencv2/reg                                                                                                                             |         11 |        249 |        652 |        161 |      1,062 |
| Thirdparty/opencv_contrib-4.2.0/modules/reg/perf                                                                                                                                            |          3 |        180 |        136 |         60 |        376 |
| Thirdparty/opencv_contrib-4.2.0/modules/reg/samples                                                                                                                                         |          2 |        291 |         77 |         77 |        445 |
| Thirdparty/opencv_contrib-4.2.0/modules/reg/src                                                                                                                                             |         12 |        683 |        510 |        213 |      1,406 |
| Thirdparty/opencv_contrib-4.2.0/modules/reg/test                                                                                                                                            |          3 |        203 |        146 |         50 |        399 |
| Thirdparty/opencv_contrib-4.2.0/modules/rgbd                                                                                                                                                |         52 |     13,874 |      1,968 |      2,922 |     18,764 |
| Thirdparty/opencv_contrib-4.2.0/modules/rgbd (Files)                                                                                                                                        |          3 |         63 |          0 |         17 |         80 |
| Thirdparty/opencv_contrib-4.2.0/modules/rgbd/doc                                                                                                                                            |          2 |        444 |          0 |          2 |        446 |
| Thirdparty/opencv_contrib-4.2.0/modules/rgbd/include                                                                                                                                        |          5 |      1,094 |        706 |        265 |      2,065 |
| Thirdparty/opencv_contrib-4.2.0/modules/rgbd/include/opencv2                                                                                                                                |          5 |      1,094 |        706 |        265 |      2,065 |
| Thirdparty/opencv_contrib-4.2.0/modules/rgbd/include/opencv2 (Files)                                                                                                                        |          1 |          7 |          8 |          9 |         24 |
| Thirdparty/opencv_contrib-4.2.0/modules/rgbd/include/opencv2/rgbd                                                                                                                           |          4 |      1,087 |        698 |        256 |      2,041 |
| Thirdparty/opencv_contrib-4.2.0/modules/rgbd/misc                                                                                                                                           |          2 |         83 |          2 |         22 |        107 |
| Thirdparty/opencv_contrib-4.2.0/modules/rgbd/misc/python                                                                                                                                    |          2 |         83 |          2 |         22 |        107 |
| Thirdparty/opencv_contrib-4.2.0/modules/rgbd/misc/python (Files)                                                                                                                            |          1 |         51 |          0 |         10 |         61 |
| Thirdparty/opencv_contrib-4.2.0/modules/rgbd/misc/python/test                                                                                                                               |          1 |         32 |          2 |         12 |         46 |
| Thirdparty/opencv_contrib-4.2.0/modules/rgbd/samples                                                                                                                                        |          4 |      1,585 |         98 |        293 |      1,976 |
| Thirdparty/opencv_contrib-4.2.0/modules/rgbd/src                                                                                                                                            |         28 |      9,454 |      1,054 |      2,063 |     12,571 |
| Thirdparty/opencv_contrib-4.2.0/modules/rgbd/test                                                                                                                                           |          8 |      1,151 |        108 |        260 |      1,519 |
| Thirdparty/opencv_contrib-4.2.0/modules/saliency                                                                                                                                            |         26 |      2,300 |      1,215 |        565 |      4,080 |
| Thirdparty/opencv_contrib-4.2.0/modules/saliency (Files)                                                                                                                                    |          1 |          3 |          0 |          3 |          6 |
| Thirdparty/opencv_contrib-4.2.0/modules/saliency/doc                                                                                                                                        |          1 |         30 |          0 |          4 |         34 |
| Thirdparty/opencv_contrib-4.2.0/modules/saliency/include                                                                                                                                    |          3 |        330 |        288 |        114 |        732 |
| Thirdparty/opencv_contrib-4.2.0/modules/saliency/include/opencv2                                                                                                                            |          3 |        330 |        288 |        114 |        732 |
| Thirdparty/opencv_contrib-4.2.0/modules/saliency/include/opencv2 (Files)                                                                                                                    |          1 |          5 |         74 |          5 |         84 |
| Thirdparty/opencv_contrib-4.2.0/modules/saliency/include/opencv2/saliency                                                                                                                   |          2 |        325 |        214 |        109 |        648 |
| Thirdparty/opencv_contrib-4.2.0/modules/saliency/samples                                                                                                                                    |          1 |        142 |         43 |         31 |        216 |
| Thirdparty/opencv_contrib-4.2.0/modules/saliency/src                                                                                                                                        |         17 |      1,774 |        807 |        400 |      2,981 |
| Thirdparty/opencv_contrib-4.2.0/modules/saliency/src (Files)                                                                                                                                |          8 |        815 |        410 |        220 |      1,445 |
| Thirdparty/opencv_contrib-4.2.0/modules/saliency/src/BING                                                                                                                                   |          9 |        959 |        397 |        180 |      1,536 |
| Thirdparty/opencv_contrib-4.2.0/modules/saliency/test                                                                                                                                       |          3 |         21 |         77 |         13 |        111 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm                                                                                                                                                 |        124 |     11,665 |      5,559 |      2,918 |     20,142 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm (Files)                                                                                                                                         |          1 |         82 |          0 |         37 |        119 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm/cmake                                                                                                                                           |          2 |        751 |          0 |         67 |        818 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm/include                                                                                                                                         |         10 |        390 |        815 |        153 |      1,358 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm/include/opencv2                                                                                                                                 |         10 |        390 |        815 |        153 |      1,358 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm/include/opencv2 (Files)                                                                                                                         |          1 |         13 |         86 |          6 |        105 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm/include/opencv2/sfm                                                                                                                             |          9 |        377 |        729 |        147 |      1,253 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm/samples                                                                                                                                         |          5 |        538 |         70 |        168 |        776 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm/src                                                                                                                                             |         88 |      9,012 |      4,248 |      2,168 |     15,428 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm/src (Files)                                                                                                                                     |         11 |      1,656 |        609 |        483 |      2,748 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/io                                                                                                                                          |          1 |        104 |         61 |         25 |        190 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light                                                                                                                                 |         76 |      7,252 |      3,578 |      1,660 |     12,490 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/CMake                                                                                                                           |          1 |          7 |          0 |          3 |         10 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv                                                                                                                           |         75 |      7,245 |      3,578 |      1,657 |     12,480 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/base                                                                                                                      |          2 |        129 |         55 |         28 |        212 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/correspondence                                                                                                            |          9 |        820 |        390 |        178 |      1,388 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/logging                                                                                                                   |          1 |         11 |         19 |          7 |         37 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview                                                                                                                 |         33 |      2,754 |      1,577 |        587 |      4,918 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/numeric                                                                                                                   |          6 |        728 |        213 |        139 |      1,080 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/simple_pipeline                                                                                                           |         24 |      2,803 |      1,324 |        718 |      4,845 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm/test                                                                                                                                            |         13 |        678 |        426 |        227 |      1,331 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm/tutorials                                                                                                                                       |          5 |        214 |          0 |         98 |        312 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm/tutorials (Files)                                                                                                                               |          1 |         18 |          0 |         16 |         34 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm/tutorials/sfm_import_reconstruction                                                                                                             |          1 |         17 |          0 |         12 |         29 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm/tutorials/sfm_installation                                                                                                                      |          1 |         48 |          0 |         14 |         62 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm/tutorials/sfm_scene reconstruction                                                                                                              |          1 |         71 |          0 |         34 |        105 |
| Thirdparty/opencv_contrib-4.2.0/modules/sfm/tutorials/sfm_trajectory_estimation                                                                                                             |          1 |         60 |          0 |         22 |         82 |
| Thirdparty/opencv_contrib-4.2.0/modules/shape                                                                                                                                               |         20 |      2,808 |      1,083 |        487 |      4,378 |
| Thirdparty/opencv_contrib-4.2.0/modules/shape/include                                                                                                                                       |          6 |        150 |        428 |         75 |        653 |
| Thirdparty/opencv_contrib-4.2.0/modules/shape/include/opencv2                                                                                                                               |          6 |        150 |        428 |         75 |        653 |
| Thirdparty/opencv_contrib-4.2.0/modules/shape/include/opencv2 (Files)                                                                                                                       |          1 |          7 |         45 |          6 |         58 |
| Thirdparty/opencv_contrib-4.2.0/modules/shape/include/opencv2/shape                                                                                                                         |          5 |        143 |        383 |         69 |        595 |
| Thirdparty/opencv_contrib-4.2.0/modules/shape/misc                                                                                                                                          |          1 |         22 |          2 |         14 |         38 |
| Thirdparty/opencv_contrib-4.2.0/modules/shape/misc/python                                                                                                                                   |          1 |         22 |          2 |         14 |         38 |
| Thirdparty/opencv_contrib-4.2.0/modules/shape/misc/python/test                                                                                                                              |          1 |         22 |          2 |         14 |         38 |
| Thirdparty/opencv_contrib-4.2.0/modules/shape/samples                                                                                                                                       |          1 |        107 |          5 |         10 |        122 |
| Thirdparty/opencv_contrib-4.2.0/modules/shape/src                                                                                                                                           |          9 |      2,284 |        580 |        354 |      3,218 |
| Thirdparty/opencv_contrib-4.2.0/modules/shape/test                                                                                                                                          |          3 |        245 |         68 |         34 |        347 |
| Thirdparty/opencv_contrib-4.2.0/modules/stereo                                                                                                                                              |         26 |      3,768 |      1,222 |        452 |      5,442 |
